Wafer_Thickness_um,Surface_Defect_Count,Resistance_Ohms,Voltage_V,Temperature_C,Process_Time_min,Chemical_Concentration_ppm,Surface_Roughness_nm,Pattern_Alignment_Error_nm,Classification
697.25,16,85.918,3.072,1070.6,113.2,20.93,12.78,129.7,Fail
728.66,2,16.467,3.325,990.2,158.3,0.98,1.24,29.1,Pass
732.7,7,48.205,3.314,1005.9,141.2,1.95,1.6,19.3,Pass
758.43,8,92.573,3.148,1250.0,121.1,17.47,20.0,54.0,Fail
723.88,5,35.619,3.275,1009.0,127.2,6.84,0.5,40.8,Pass
720.52,17,76.179,3.217,1187.3,150.7,6.77,4.99,48.8,Fail
751.48,0,10.054,3.196,1004.6,138.1,0.23,5.31,20.0,Fail
718.09,3,27.933,3.278,1047.7,172.4,0.74,2.59,27.6,Pass
742.37,3,32.782,3.259,1007.6,150.1,5.48,2.05,35.9,Pass
772.84,21,53.079,3.221,1166.3,187.3,2.4,8.2,76.9,Fail
750.11,15,1.301,3.315,793.1,159.9,2.65,3.24,125.5,Fail
737.38,2,27.822,3.231,982.3,139.1,2.93,2.18,15.5,Pass
709.91,2,38.469,3.229,1020.2,168.4,3.54,1.24,35.1,Pass
741.25,5,39.544,3.261,1004.8,124.0,0.85,5.6,22.0,Pass
748.79,1,42.445,3.37,974.8,124.6,5.39,4.85,30.9,Pass
755.86,15,85.035,3.006,1117.9,144.6,0.11,14.17,124.8,Fail
678.79,29,1.288,3.3,809.6,134.7,5.16,14.66,96.6,Fail
704.02,12,7.07,3.375,848.9,185.9,4.32,4.94,86.5,Fail
721.49,2,48.561,3.296,1025.9,138.0,0.14,0.53,24.5,Pass
714.61,1,10.314,3.311,1000.9,150.3,4.79,1.42,31.8,Pass
728.86,4,19.041,3.384,967.1,158.6,0.49,0.5,26.7,Pass
740.86,3,30.417,3.292,993.8,137.5,5.21,0.5,38.7,Pass
726.01,3,33.549,3.25,1003.5,132.3,3.47,3.11,35.6,Pass
714.04,0,37.102,3.322,964.0,144.6,0.13,2.09,5.4,Pass
731.07,2,21.992,3.291,1037.6,140.6,0.91,2.08,23.4,Pass
765.8,3,24.402,3.232,990.1,141.7,1.92,3.38,44.1,Pass
722.72,2,20.396,3.243,988.8,139.5,2.91,3.59,20.9,Pass
721.88,19,65.893,3.159,1117.2,159.4,12.24,20.0,124.4,Fail
725.87,2,34.31,3.306,999.2,132.5,2.15,4.48,23.2,Pass
675.22,13,85.163,3.2,1167.5,141.2,0.77,13.19,51.6,Fail
757.3,3,25.698,3.232,1019.9,145.5,1.09,4.04,24.0,Pass
711.1,0,12.628,3.325,993.2,126.6,1.32,5.86,16.2,Pass
695.72,1,36.965,3.331,1010.3,165.1,1.74,3.65,34.1,Pass
768.32,9,5.641,3.096,876.7,153.4,0.57,2.91,83.3,Fail
721.32,1,38.522,3.25,1003.9,189.7,1.5,1.58,30.6,Pass
725.2,7,41.273,3.267,1012.9,124.5,1.84,1.51,21.5,Pass
714.84,2,17.604,3.327,959.6,168.0,0.81,4.75,34.6,Pass
718.69,6,21.24,3.321,961.6,154.9,0.41,3.04,29.0,Pass
720.17,4,22.703,3.314,944.5,151.9,0.14,4.27,21.4,Pass
743.01,17,4.811,3.4,806.5,169.2,2.75,10.73,91.2,Fail
738.97,2,15.377,3.275,966.7,164.9,1.53,4.68,17.1,Pass
731.19,3,30.858,3.277,1015.8,139.2,3.2,3.9,19.1,Pass
761.95,6,35.913,3.365,1000.3,129.8,1.29,3.6,22.0,Pass
695.6,5,48.242,3.224,964.5,173.8,0.98,2.12,5.7,Pass
736.51,5,38.886,3.273,1012.1,142.2,0.75,0.53,30.9,Pass
716.28,17,80.476,2.836,1185.1,169.5,0.73,4.05,79.6,Fail
744.16,3,42.279,3.268,992.7,151.1,1.26,5.63,32.9,Pass
739.45,0,35.308,3.307,998.0,141.5,1.14,5.21,38.9,Pass
738.49,7,35.237,3.327,979.7,128.1,2.86,4.17,24.5,Pass
749.01,15,6.237,3.232,857.6,195.5,4.93,11.11,29.0,Fail
736.96,13,2.533,3.287,895.9,151.0,19.26,19.23,105.6,Fail
729.84,3,22.867,3.361,1018.2,154.7,1.87,14.45,23.6,Pass
737.79,2,42.286,3.262,1042.9,164.0,3.72,1.25,31.4,Pass
712.3,0,40.703,3.309,983.3,134.0,1.84,4.54,25.9,Pass
744.0,4,41.215,3.291,1070.5,153.0,2.41,3.0,14.3,Pass
712.14,4,30.016,3.3,984.4,168.0,2.6,4.6,22.4,Pass
736.73,6,10.153,3.249,1021.5,142.7,3.86,1.07,46.1,Pass
698.53,18,91.548,3.063,1202.3,102.2,23.71,19.59,74.2,Fail
707.74,3,40.472,3.319,1015.6,155.1,0.4,0.5,13.2,Pass
725.08,4,26.115,3.295,1029.7,162.1,2.76,3.7,43.3,Pass
707.86,3,21.812,3.387,984.6,110.6,1.15,2.93,14.9,Pass
734.93,7,15.879,3.376,985.7,137.9,2.3,3.11,25.0,Pass
688.77,21,59.899,3.366,1120.2,134.6,5.69,1.53,37.0,Fail
717.05,3,12.893,3.289,1015.2,148.7,5.66,3.18,5.0,Pass
714.38,5,28.32,3.265,920.1,127.7,0.67,4.83,31.9,Pass
696.22,1,49.159,3.301,998.3,176.2,2.51,1.57,21.9,Pass
712.73,1,48.057,3.305,942.0,152.1,4.89,1.77,20.2,Pass
729.21,16,7.243,3.469,822.7,133.7,5.75,7.75,52.0,Fail
734.43,0,33.742,3.335,1021.4,164.8,2.26,1.19,5.2,Pass
730.78,3,45.206,3.327,994.4,135.0,0.41,2.1,6.8,Pass
714.22,4,32.603,3.277,1015.5,145.0,0.95,3.55,35.4,Pass
726.23,10,99.258,3.27,1163.7,169.4,1.23,3.4,66.5,Fail
717.81,2,18.428,3.234,980.5,170.9,0.93,0.5,18.8,Pass
720.48,1,45.724,3.347,978.0,186.7,0.1,4.12,15.1,Pass
740.05,5,10.573,3.217,991.0,146.7,0.1,2.59,29.4,Pass
742.45,3,48.511,3.291,1013.3,156.8,3.82,5.57,22.5,Pass
671.31,13,5.729,3.079,931.1,138.5,2.91,5.2,128.4,Fail
709.96,2,19.147,3.316,965.7,155.7,0.79,2.36,39.1,Pass
730.36,0,26.302,3.362,1003.4,148.5,2.87,8.91,32.6,Pass
688.7,14,67.445,3.202,1248.5,127.4,6.18,2.9,102.8,Fail
727.8,2,10.678,3.313,992.3,149.4,0.1,9.43,5.0,Pass
714.28,2,45.675,3.299,972.6,133.3,1.53,4.0,27.8,Pass
723.84,5,48.031,3.193,957.5,144.8,0.26,1.46,27.6,Pass
715.37,17,89.251,3.131,1110.4,114.4,1.34,6.97,59.5,Fail
719.22,2,41.253,3.406,989.8,161.9,1.85,0.83,28.1,Pass
733.56,2,24.711,3.263,1005.4,140.6,0.82,4.79,34.1,Pass
711.36,2,37.305,3.285,1021.0,141.1,0.1,3.12,19.5,Pass
717.72,2,23.494,3.354,953.2,186.6,1.46,2.61,20.1,Pass
732.83,2,22.651,3.327,1057.3,151.8,0.18,0.83,21.2,Pass
710.28,2,24.627,3.388,978.5,144.5,1.45,2.72,27.0,Pass
729.86,4,10.765,3.369,1058.2,144.6,0.46,2.81,35.9,Pass
737.33,3,40.645,3.32,981.6,166.4,6.52,2.56,7.9,Pass
737.19,3,15.371,3.339,1002.9,123.3,0.72,3.32,21.0,Pass
728.63,1,14.993,3.339,1013.3,162.1,3.37,4.11,29.3,Pass
756.83,5,43.882,3.317,1022.0,122.5,6.78,1.38,25.2,Pass
717.4,4,38.733,3.303,1018.3,146.9,0.73,4.08,5.0,Pass
735.71,2,24.748,3.301,974.5,152.4,0.43,0.95,15.2,Pass
703.89,1,16.508,3.285,965.6,155.1,7.51,1.56,36.8,Pass
764.19,13,56.023,3.436,1204.2,207.8,3.26,8.42,77.4,Fail
727.31,1,37.113,3.337,1058.7,170.5,1.15,1.56,37.3,Pass
732.1,4,24.793,3.321,1037.0,144.5,2.2,7.53,20.5,Pass
732.24,3,28.308,3.193,980.9,155.1,2.87,1.01,23.2,Pass
733.21,1,31.863,3.262,981.1,139.6,8.35,3.11,28.6,Pass
746.04,4,19.677,3.381,1019.1,153.5,0.1,5.85,18.2,Pass
671.97,14,97.659,2.923,1104.2,91.5,5.71,2.54,94.2,Fail
777.58,22,2.023,3.538,910.6,85.0,1.63,4.92,80.8,Fail
733.8,8,42.901,3.32,948.8,146.8,0.56,0.54,20.0,Pass
739.53,5,21.983,3.336,956.1,147.4,3.27,1.06,20.9,Pass
782.79,3,21.496,3.27,972.8,168.1,1.29,2.1,28.4,Pass
726.66,5,18.129,3.249,1014.0,148.7,3.23,1.62,33.0,Pass
786.44,18,4.275,3.27,836.0,145.7,22.5,13.18,111.3,Fail
722.6,1,24.281,3.259,979.1,137.1,5.9,1.69,11.3,Pass
751.51,21,77.68,3.304,1068.4,212.8,0.45,8.15,87.2,Fail
724.72,2,35.375,3.295,988.7,155.7,2.82,2.8,12.9,Pass
724.46,3,40.137,3.347,1036.6,154.8,5.03,3.07,23.4,Pass
737.99,2,21.732,3.342,1010.5,173.4,1.19,7.31,35.7,Pass
704.81,9,5.048,3.534,798.1,87.9,12.79,5.79,58.3,Fail
718.34,15,98.948,3.369,1149.0,197.9,6.1,19.32,83.8,Fail
704.02,17,3.008,3.328,934.4,80.0,0.31,16.41,64.5,Fail
753.29,4,22.86,3.22,985.9,153.2,2.76,3.24,22.3,Pass
706.45,0,19.873,3.219,1025.6,162.3,0.83,4.55,28.8,Pass
720.51,2,34.544,3.309,986.6,139.4,1.34,1.58,26.1,Pass
726.38,3,13.544,3.31,1022.6,163.5,0.87,4.96,38.9,Pass
737.85,1,44.014,3.38,1013.8,152.4,0.81,2.53,24.3,Pass
691.56,15,75.936,3.461,1222.0,181.6,19.23,1.98,69.2,Fail
707.47,6,27.974,3.328,1024.5,171.0,0.58,1.3,28.1,Pass
727.71,12,64.43,3.245,1209.0,144.6,9.44,9.03,43.7,Fail
735.29,3,29.715,3.351,967.9,127.9,1.12,1.15,15.9,Pass
685.64,15,2.637,3.912,853.9,156.0,15.61,9.61,41.6,Fail
717.92,4,31.238,3.327,1034.7,151.8,0.22,1.42,28.6,Pass
747.17,2,26.284,3.359,980.8,142.6,3.34,2.82,21.1,Pass
727.59,9,7.124,3.276,936.7,161.5,0.32,7.33,63.8,Fail
733.82,1,23.808,3.303,984.8,161.4,1.04,7.07,11.7,Pass
737.86,6,10.362,3.358,1014.5,177.1,0.4,4.82,23.8,Pass
706.43,13,85.757,3.015,1210.3,152.7,6.91,18.74,66.9,Fail
735.35,5,29.236,3.367,960.6,159.1,1.29,4.96,20.9,Pass
724.11,4,19.129,3.302,997.4,170.1,2.84,1.03,21.0,Pass
703.05,2,38.283,3.287,1016.0,152.0,1.03,5.2,29.4,Pass
698.14,10,7.034,3.189,813.8,151.0,9.66,11.34,55.3,Fail
746.62,5,49.653,3.237,1038.5,144.5,0.57,2.43,10.2,Pass
742.38,1,29.753,3.327,947.7,167.0,3.9,1.13,7.8,Pass
